COMID,Monitoring,lat,lon,AreaSqKM,wshd area,TotDASqKM,Source,GII,WT
2604977.0,CBP_WQX-WQN0301,40.95814,-76.61912,0.2376,0.0,19.9998,3,1540500,
4199356.0,CBP_WQX-WQN0305,41.76535,-76.4405,0.7245,0.0,20162.7954,3,1531500,
4651906.0,21DELAWQ_WQX-102051,39.763006,-75.516873,3.5712,0.0,22.0644,3,1477800,
4651912.0,21DELAWQ_WQX-103031,39.762878,-75.636578,6.1614,0.0,125.1684,3,1480000,
4651938.0,21DELAWQ_WQX-105151,39.698957,-75.675438,9.4662,0.0,234.7785,3,1479000,
4651956.0,21DELAWQ_WQX-106141,39.637456,-75.72848,21.879,0.0,63.2925,3,1478000,
4655440.0,21DELAWQ_WQX-104021,39.769832,-75.578844,1.8153,0.0,824.9895,3,1481500,
4672391.0,21PA_WQX-WQN0404,41.1167,-78.1086,0.0,0.0,184.6827,3,1542500,
4683072.0,21PA_WQX-WQN0217,40.6089,-78.1361,14.1588,0.0,282.6486,3,1558098,
4684242.0,21PA_WQX-WQN0224,40.4628,-78.2,12.7827,0.0,754.7058,3,1556000,
4709260.0,CBP_WQX-WQN0272,40.29842,-76.66747,1.3851,0.0,1249.8786,3,1573560,
4712048.0,21PA_WQX-WQN0271,40.255,-77.0189,3.4614,0.0,1211.0094,3,1570000,
4724801.0,21PA_WQX-WQN0204,39.9056,-76.3281,8.1441,0.0,397.2276,3,1576787,
5894792.0,CBP_WQX-POT1830,39.43508,-77.80266,8.5707,0.0,15427.7298,3,1618000,
5894792.0,MDDNR-POT1830,39.4351,-77.8027,8.5707,0.0,15427.7298,3,1618000,
6251098.0,NJHDG-4,40.90266,-74.133,21.5631,0.0,2110.6035,3,1389890,
6251098.0,NJHDG-5,40.8795,-74.12066,21.5631,0.0,2110.6035,3,1389890,
8076762.0,21DELAWQ_WQX-206011,38.975858,-75.567529,2.6154,0.0,22.014,3,1484000,
8392898.0,21DELAWQ_WQX-304191,38.728446,-75.562085,0.0558,0.0,190.3932,3,1487000,
8457352.0,21VASWCB-7-DRN010.48,37.6336,-76.6958,0.3654,0.0,283.527,3,1669520,
8467225.0,21VASWCB-3-RAP030.21,38.359,-77.9731,1.4688,0.0,1211.8833,3,1667500,
8468791.0,21VASWCB-3-RAP066.54,38.2797,-78.3411,3.6486,0.0,300.2661,3,1665500,
8476950.0,21VASWCB-3-RPP113.37,38.3093,-77.5293,0.5949,0.0,4125.8628,3,1668000,
8489364.0,21VASWCB-8-POR008.97,38.1711,-77.5953,1.6218,0.0,201.4695,3,1673800,
8489912.0,21VASWCB-8-MPN094.94,38.0618,-77.386,8.8245,0.0,669.7044,3,1674000,
8520755.0,21VASWCB-2-BCC004.71,38.06990000000001,-79.8976,1.4112,0.0,347.6853,3,2011500,
8538663.0,21VASWCB-2-CFP004.67,37.9872,-79.4941,0.1305,0.0,365.2695,3,2020500,
8540133.0,21VASWCB-2-MRY014.78,37.7522,-79.3917,8.0397,0.0,1681.6977,3,2024000,
8550041.0,21VASWCB-2-JMS279.41,37.5553,-79.3673,0.1485,0.0,7965.1062,3,2024752,
8550041.0,CBP_WQX-2-JMS279.41,37.55546,-79.36701,0.1485,0.0,7965.1062,3,2024752,
10067073.0,21VASWCB-2-CHK035.26,37.4358,-77.0608,5.5053,0.0,650.1285,3,2042500,
14363658.0,CBP_WQX-NBP0326,39.56677,-78.83891,2.1051,0.0,1555.9029,3,1600000,
14363658.0,MDDNR-NBP0326,39.56677364,-78.83891471,2.1051,0.0,1555.9029,3,1600000,
